min,max,count,mean,majority,median,std,sum,minority,range,year,month,type,index,biomass,lat,long
0.0,13.0,9,4.555555555555555,0.0,2.0,5.057691856329352,41.0,2.0,13.0,tif,,al_c,0,5.180296421,24.66818,71.33144
8.0,90.0,9,30.0,11.0,20.0,25.542992080890688,270.0,8.0,82.0,tif,,al_c,1,42.1269455,24.66818,71.41106
29.0,92.0,9,74.0,29.0,79.0,18.93849694845572,666.0,29.0,63.0,tif,,al_c,2,73.20323181,24.66818,71.49069
79.0,93.0,9,86.11111111111111,81.0,85.0,4.931631338038255,775.0,79.0,14.0,tif,,al_c,3,101.0673523,24.66818,71.57031
79.0,99.0,12,88.0,81.0,88.0,6.258327785172862,1056.0,79.0,20.0,tif,,al_c,4,26.08688545,24.66818,71.64994
52.0,90.0,9,78.88888888888889,52.0,80.0,10.48220125784067,710.0,52.0,38.0,tif,,al_c,5,41.74900055,24.66818,71.72956
70.0,94.0,9,85.77777777777777,93.0,90.0,8.521577550584006,772.0,70.0,24.0,tif,,al_c,6,55.00392914,24.66818,71.80919
87.0,96.0,9,92.22222222222223,96.0,95.0,4.0490815907307995,830.0,88.0,9.0,tif,,al_c,7,29.41161346,24.66818,71.88882
85.0,98.0,9,93.22222222222223,96.0,95.0,4.15739709641549,839.0,85.0,13.0,tif,,al_c,8,37.49700928,24.66818,71.96844
77.0,99.0,12,89.0,94.0,90.0,6.645800679125628,1068.0,77.0,22.0,tif,,al_c,9,52.54997635,24.66818,72.04807
71.0,99.0,9,88.55555555555556,94.0,94.0,9.464684195131936,797.0,71.0,28.0,tif,,al_c,10,9.861409187,24.66818,72.12769
77.0,99.0,9,87.44444444444444,92.0,89.0,7.733205618357918,787.0,77.0,22.0,tif,,al_c,11,7.909708977,24.66818,72.20732
83.0,99.0,9,90.22222222222223,87.0,88.0,4.96158079150358,812.0,83.0,16.0,tif,,al_c,12,7.00591135,24.66818,72.28694
18.0,95.0,9,62.333333333333336,18.0,58.0,26.486894033758574,561.0,18.0,77.0,tif,,al_c,13,0.177586645,24.66818,72.36657
0.0,1.0,12,0.08333333333333333,0.0,0.0,0.2763853991962833,1.0,1.0,1.0,tif,,al_c,14,0.952278614,24.58758,71.25181
1.0,85.0,9,53.666666666666664,50.0,53.0,24.747614924360782,483.0,1.0,84.0,tif,,al_c,15,26.50906563,24.58758,71.33144
76.0,99.0,9,89.44444444444444,89.0,89.0,7.04132423011327,805.0,76.0,23.0,tif,,al_c,16,85.23765564,24.58758,71.41106
75.0,95.0,9,88.0,93.0,89.0,6.599663291074443,792.0,75.0,20.0,tif,,al_c,17,153.9760895,24.58758,71.49069
76.0,98.0,9,90.88888888888889,91.0,92.0,6.0082248153759,818.0,76.0,22.0,tif,,al_c,18,167.4338837,24.58758,71.57031
74.0,98.0,12,88.66666666666667,94.0,89.0,6.79869268479038,1064.0,74.0,24.0,tif,,al_c,19,89.41933441,24.58758,71.64994
72.0,93.0,9,84.0,83.0,83.0,6.446359868604572,756.0,72.0,21.0,tif,,al_c,20,127.0603485,24.58758,71.72956
83.0,90.0,9,87.44444444444444,87.0,88.0,1.9499920860871383,787.0,83.0,7.0,tif,,al_c,21,126.2838364,24.58758,71.80919
88.0,97.0,9,93.44444444444444,94.0,94.0,2.671292284482513,841.0,88.0,9.0,tif,,al_c,22,101.8238525,24.58758,71.88882
91.0,98.0,9,94.55555555555556,92.0,93.0,2.9101779674908435,851.0,91.0,7.0,tif,,al_c,23,111.148941,24.58758,71.96844
85.0,97.0,12,93.5,97.0,95.0,3.840572873934304,1122.0,85.0,12.0,tif,,al_c,24,111.8161621,24.58758,72.04807
82.0,99.0,9,94.0,98.0,95.0,4.898979485566356,846.0,82.0,17.0,tif,,al_c,25,86.27101898,24.58758,72.12769
73.0,98.0,9,85.44444444444444,79.0,86.0,7.903741886123884,769.0,73.0,25.0,tif,,al_c,26,44.64852142,24.58758,72.20732
87.0,100.0,9,92.22222222222223,90.0,92.0,3.8522079607466035,830.0,87.0,13.0,tif,,al_c,27,41.31939697,24.58758,72.28694
73.0,100.0,9,93.66666666666667,99.0,96.0,8.04155872120988,843.0,73.0,27.0,tif,,al_c,28,4.003596783,24.58758,72.36657
0.0,12.0,12,2.0,0.0,0.0,3.391164991562634,24.0,3.0,12.0,tif,,al_c,29,0.241195455,24.50698,71.25181
0.0,81.0,9,29.77777777777778,0.0,36.0,23.943348776169216,268.0,0.0,81.0,tif,,al_c,30,29.89868927,24.50698,71.33144
66.0,96.0,9,82.22222222222223,90.0,83.0,9.952975856248306,740.0,66.0,30.0,tif,,al_c,31,100.9010086,24.50698,71.41106
92.0,99.0,9,94.55555555555556,94.0,94.0,2.2166597048066667,851.0,93.0,7.0,tif,,al_c,32,134.183136,24.50698,71.49069
83.0,98.0,9,91.55555555555556,90.0,91.0,4.597369081239378,824.0,83.0,15.0,tif,,al_c,33,163.1720581,24.50698,71.57031
74.0,91.0,12,83.0,77.0,83.5,5.400617248673217,996.0,74.0,17.0,tif,,al_c,34,134.410141,24.50698,71.64994
71.0,93.0,9,82.66666666666667,84.0,84.0,6.324555320336759,744.0,71.0,22.0,tif,,al_c,35,112.1739349,24.50698,71.72956
84.0,96.0,9,89.0,84.0,88.0,4.2946995755750415,801.0,86.0,12.0,tif,,al_c,36,155.4946289,24.50698,71.80919
85.0,97.0,9,92.22222222222223,91.0,93.0,3.9094693523909294,830.0,85.0,12.0,tif,,al_c,37,174.4985199,24.50698,71.88882
80.0,95.0,9,91.77777777777777,95.0,94.0,4.516089207311461,826.0,80.0,15.0,tif,,al_c,38,112.5465164,24.50698,71.96844
67.0,91.0,12,83.58333333333333,83.0,83.5,5.97854961972848,1003.0,67.0,24.0,tif,,al_c,39,78.11170197,24.50698,72.04807
74.0,95.0,9,85.55555555555556,74.0,87.0,7.484964352488573,770.0,74.0,21.0,tif,,al_c,40,86.62328339,24.50698,72.12769
76.0,99.0,9,87.55555555555556,76.0,88.0,7.747560348782362,788.0,76.0,23.0,tif,,al_c,41,92.12915039,24.50698,72.20732
80.0,99.0,9,90.33333333333333,89.0,90.0,6.253887679764573,813.0,80.0,19.0,tif,,al_c,42,109.4937744,24.50698,72.28694
46.0,96.0,9,74.77777777777777,46.0,73.0,15.375144283173249,673.0,46.0,50.0,tif,,al_c,43,30.97206688,24.50698,72.36657
9.0,83.0,9,44.0,12.0,48.0,25.96578945886726,396.0,9.0,74.0,tif,,al_c,44,4.792346954,24.50698,72.44619
18.0,63.0,9,40.111111111111114,18.0,49.0,15.82855678438635,361.0,24.0,45.0,tif,,al_c,45,0.709676743,24.50698,72.60544
0.0,72.0,9,41.333333333333336,28.0,41.0,22.528993664954402,372.0,0.0,72.0,tif,,al_c,46,0.413164586,24.50698,72.68507
1.0,71.0,12,21.083333333333332,3.0,12.0,22.728316895205616,253.0,1.0,70.0,tif,,al_c,47,14.09113312,24.42638,71.33144
2.0,97.0,12,69.75,2.0,70.5,25.0802877442292,837.0,2.0,95.0,tif,,al_c,48,98.30970764,24.42638,71.41106
73.0,97.0,12,88.75,80.0,91.5,7.48470662974397,1065.0,73.0,24.0,tif,,al_c,49,127.0145798,24.42638,71.49069
80.0,98.0,12,90.25,93.0,91.5,5.2934708210524155,1083.0,80.0,18.0,tif,,al_c,50,129.7623901,24.42638,71.57031
36.0,96.0,16,81.25,82.0,86.0,15.101738310538956,1300.0,36.0,60.0,tif,,al_c,51,103.8457642,24.42638,71.64994
74.0,97.0,12,87.91666666666667,80.0,89.5,6.824689655133697,1055.0,74.0,23.0,tif,,al_c,52,107.3855286,24.42638,71.72956
85.0,97.0,12,92.0,94.0,93.0,3.7859388972001824,1104.0,85.0,12.0,tif,,al_c,53,169.7783661,24.42638,71.80919
85.0,98.0,12,93.0,93.0,93.0,3.1091263510296048,1116.0,85.0,13.0,tif,,al_c,54,157.299408,24.42638,71.88882
85.0,99.0,12,92.66666666666667,93.0,93.5,3.8369548110737792,1112.0,85.0,14.0,tif,,al_c,55,118.2251968,24.42638,71.96844
82.0,99.0,16,93.8125,96.0,95.5,4.3763390807843034,1501.0,82.0,17.0,tif,,al_c,56,158.2336884,24.42638,72.04807
