min,max,count,mean,year,month,type,index,lat,long
8.0,13.0,100,11.01,0s_e,ev,2.1_,0,24.66818,71.33144
12.0,28.0,90,15.377777777777778,0s_e,ev,2.1_,1,24.66818,71.41106
15.0,37.0,100,24.22,0s_e,ev,2.1_,2,24.66818,71.49069
24.0,46.0,90,33.2,0s_e,ev,2.1_,3,24.66818,71.57031
30.0,53.0,100,43.34,0s_e,ev,2.1_,4,24.66818,71.64994
44.0,62.0,90,51.46666666666667,0s_e,ev,2.1_,5,24.66818,71.72956
56.0,82.0,100,70.31,0s_e,ev,2.1_,6,24.66818,71.80919
80.0,105.0,90,92.11111111111111,0s_e,ev,2.1_,7,24.66818,71.88882
101.0,132.0,100,115.44,0s_e,ev,2.1_,8,24.66818,71.96844
129.0,170.0,100,145.68,0s_e,ev,2.1_,9,24.66818,72.04807
156.0,196.0,90,174.0,0s_e,ev,2.1_,10,24.66818,72.12769
185.0,349.0,100,218.24,0s_e,ev,2.1_,11,24.66818,72.20732
220.0,297.0,90,245.27777777777777,0s_e,ev,2.1_,12,24.66818,72.28694
262.0,647.0,100,322.92,0s_e,ev,2.1_,13,24.66818,72.36657
3.0,9.0,90,5.9222222222222225,0s_e,ev,2.1_,14,24.58758,71.25181
7.0,25.0,90,15.555555555555555,0s_e,ev,2.1_,15,24.58758,71.33144
16.0,31.0,81,24.296296296296298,0s_e,ev,2.1_,16,24.58758,71.41106
23.0,38.0,90,30.166666666666668,0s_e,ev,2.1_,17,24.58758,71.49069
31.0,46.0,81,38.925925925925924,0s_e,ev,2.1_,18,24.58758,71.57031
41.0,58.0,90,49.6,0s_e,ev,2.1_,19,24.58758,71.64994
54.0,70.0,81,62.135802469135804,0s_e,ev,2.1_,20,24.58758,71.72956
63.0,88.0,90,77.04444444444445,0s_e,ev,2.1_,21,24.58758,71.80919
84.0,111.0,81,95.20987654320987,0s_e,ev,2.1_,22,24.58758,71.88882
104.0,130.0,90,117.91111111111111,0s_e,ev,2.1_,23,24.58758,71.96844
129.0,164.0,90,144.63333333333333,0s_e,ev,2.1_,24,24.58758,72.04807
155.0,202.0,81,175.59259259259258,0s_e,ev,2.1_,25,24.58758,72.12769
